match,market,sel,odds,mp,ip,edge,W,pnl,league,tier
Hamburg vs Schalke 04,1X2,Home,2.35,0.5798672216020087,0.425531914893617,0.15433530670839163,True,13.5,2. Bundesliga,2
Fortuna Dusseldorf vs Hertha,1X2,Home,2.3,0.6243472086915531,0.4347826086956522,0.18956459999590092,True,12.999999999999998,2. Bundesliga,2
Osnabruck vs Karlsruhe,O/U,Under,2.28,0.5015739349226689,0.4385964912280702,0.06297744369459868,False,-10.0,2. Bundesliga,2
Club Brugge vs Mechelen,1X2,Home,1.47,0.7755550634367723,0.6802721088435374,0.09528295459323488,False,-10.0,Jupiler Pro League,1
Braunschweig vs Holstein Kiel,O/U,Under,2.41,0.49031582940827945,0.41493775933609955,0.07537807007217989,True,14.100000000000001,2. Bundesliga,2
Sheffield Weds vs Southampton,O/U,Over,1.99,0.5689655254346551,0.5025125628140703,0.06645296262058475,True,9.9,Championship,2
Sheffield Weds vs Southampton,1X2,Home,3.14,0.6448488216145849,0.3184713375796178,0.3263774840349671,False,-10.0,Championship,2
Sutton vs Notts County,O/U,Under,2.29,0.5556495226668537,0.4366812227074236,0.11896829995943015,False,-10.0,League Two,4
Doncaster vs Harrogate,1X2,Away,3.28,0.44831967806113826,0.3048780487804878,0.14344162928065046,True,22.799999999999997,League Two,4
Accrington vs Newport County,1X2,Away,2.88,0.4321200529869312,0.3472222222222222,0.08489783076470897,False,-10.0,League Two,4
Wycombe vs Exeter,1X2,Away,3.8,0.3295541477264367,0.2631578947368421,0.06639625298959462,True,28.0,League One,3
Cambridge vs Oxford,1X2,Home,3.03,0.40580098328641173,0.33003300330033003,0.0757679799860817,True,20.299999999999997,League One,3
Swansea vs Birmingham,1X2,Home,1.87,0.6576554094168869,0.53475935828877,0.12289605112811697,False,-10.0,Championship,2
Laval vs Angers,1X2,Home,2.57,0.5367959649173977,0.38910505836575876,0.1476909065516389,True,15.7,Ligue 2,2
Dunkerque vs Troyes,1X2,Home,2.67,0.4804102081192602,0.37453183520599254,0.10587837291326768,False,-10.0,Ligue 2,2
Plymouth vs Huddersfield,1X2,Home,2.18,0.6074091733629603,0.4587155963302752,0.1486935770326851,True,11.8,Championship,2
Shrewsbury vs Cheltenham,1X2,Away,3.1,0.46113782943994297,0.3225806451612903,0.13855718427865266,False,-10.0,League One,3
St Johnstone vs Hearts,1X2,Home,3.13,0.5001550703091036,0.3194888178913738,0.18066625241772977,False,-10.0,Premiership,1
Blackburn vs West Brom,1X2,Home,2.78,0.5174426342841045,0.3597122302158274,0.15773040406827715,True,17.799999999999997,Championship,2
Ajaccio vs Rodez,1X2,Away,4.31,0.4316108113465194,0.2320185614849188,0.1995922498616006,False,-10.0,Ligue 2,2
Anderlecht vs Antwerp,1X2,Away,2.58,0.5252541998320314,0.38759689922480617,0.1376573006072252,False,-10.0,Jupiler Pro League,1
Sunderland vs Ipswich,1X2,Away,2.88,0.4902079386747614,0.3472222222222222,0.1429857164525392,True,18.799999999999997,Championship,2
Bradford vs Colchester,1X2,Away,4.03,0.3101113178152414,0.24813895781637715,0.061972359998864274,False,-10.0,League Two,4
Swindon vs Crewe,1X2,Away,4.26,0.3155124644909916,0.2347417840375587,0.08077068045343289,False,-10.0,League Two,4
Hull vs Sheffield Weds,1X2,Away,3.07,0.41819646866012483,0.32573289902280134,0.0924635696373235,False,-10.0,Championship,2
Ipswich vs Stoke,1X2,Home,2.12,0.659321371222103,0.4716981132075471,0.18762325801455587,True,11.200000000000001,Championship,2
Southampton vs Norwich,1X2,Away,4.13,0.3839038130983513,0.24213075060532688,0.14177306249302443,False,-10.0,Championship,2
West Brom vs Swansea,1X2,Away,3.5,0.4232026309423489,0.2857142857142857,0.1374883452280632,False,-10.0,Championship,2
Birmingham vs Leeds,1X2,Home,3.21,0.5059651460504906,0.3115264797507788,0.1944386662997118,True,22.1,Championship,2
Notts County vs Grimsby,O/U,Under,2.09,0.5636883240576898,0.47846889952153115,0.0852194245361586,False,-10.0,League Two,4
Notts County vs Grimsby,1X2,Away,4.31,0.32986546583122234,0.2320185614849188,0.09784690434630353,False,-10.0,League Two,4
Newport County vs Doncaster,1X2,Home,2.16,0.5858463844121029,0.4629629629629629,0.12288342144914,True,11.600000000000001,League Two,4
Harrogate vs Forest Green,1X2,Home,2.29,0.5644757811909318,0.4366812227074236,0.12779455848350818,False,-10.0,League Two,4
Barrow vs Sutton,1X2,Home,2.37,0.5120488135248003,0.42194092827004215,0.0901078852547581,True,13.700000000000001,League Two,4
AFC Wimbledon vs Wrexham,1X2,Home,3.48,0.4316142354349386,0.28735632183908044,0.14425791359585816,False,-10.0,League Two,4
Wigan vs Northampton,O/U,Under,2.01,0.6139268657481433,0.49751243781094534,0.11641442793719792,False,-10.0,League One,3
Stevenage vs Shrewsbury,1X2,Home,2.09,0.6497251324717723,0.47846889952153115,0.17125623295024117,True,10.899999999999999,League One,3
Port Vale vs Reading,1X2,Home,2.55,0.4699675643801384,0.3921568627450981,0.07781070163504034,True,15.499999999999998,League One,3
Lincoln vs Wycombe,1X2,Home,2.48,0.4987709775217849,0.40322580645161293,0.09554517107017196,True,14.8,League One,3
Leyton Orient vs Portsmouth,1X2,Home,2.71,0.44843164320392537,0.36900369003690037,0.079427953167025,False,-10.0,League One,3
Exeter vs Blackpool,1X2,Home,2.83,0.42746500645644575,0.35335689045936397,0.07410811599708178,False,-10.0,League One,3
Quevilly Rouen vs Ajaccio,O/U,Over,2.45,0.49251108872888155,0.4081632653061224,0.08434782342275915,False,-10.0,Ligue 2,2
Quevilly Rouen vs Ajaccio,1X2,Home,2.48,0.5707575104455067,0.40322580645161293,0.16753170399389378,False,-10.0,Ligue 2,2
Ath Bilbao vs Real Madrid,1X2,Home,3.4,0.4160428202582388,0.29411764705882354,0.12192517319941526,False,-10.0,La Liga,1
Las Palmas vs Mallorca,1X2,Home,2.44,0.561593464962767,0.4098360655737705,0.15175739938899646,False,-10.0,La Liga,1
Guingamp vs Dunkerque,1X2,Home,1.86,0.6031127858029872,0.5376344086021505,0.06547837720083671,False,-10.0,Ligue 2,2
Troyes vs Laval,1X2,Away,3.53,0.47011700559950265,0.28328611898017,0.18683088661933267,False,-10.0,Ligue 2,2
Kasimpasa vs Ankaragucu,O/U,Under,2.32,0.5251936150739057,0.4310344827586207,0.094159132315285,False,-10.0,Super Lig,1
Nijmegen vs Excelsior,O/U,Under,2.4,0.5133392487041835,0.4166666666666667,0.09667258203751677,False,-10.0,Eredivisie,1
Clermont vs Monaco,1X2,Home,3.48,0.5848604551698822,0.28735632183908044,0.2975041333308017,False,-10.0,Ligue 1,1
Motherwell vs Hibernian,1X2,Home,2.56,0.6034225921152027,0.390625,0.21279759211520266,True,15.600000000000001,Premiership,1
Albacete vs Espanol,O/U,Over,2.16,0.5765339684998216,0.4629629629629629,0.11357100553685873,False,-10.0,Segunda Division,2
Albacete vs Espanol,1X2,Home,2.98,0.5354767893308692,0.33557046979865773,0.19990631953221144,False,-10.0,Segunda Division,2
Chelsea vs Liverpool,1X2,Away,2.39,0.6058966380692073,0.41841004184100417,0.18748659622820318,False,-10.0,Premier League,1
Ad. Demirspor vs Rizespor,1X2,Home,1.57,0.7577874416009892,0.6369426751592356,0.12084476644175357,True,5.700000000000001,Super Lig,1
Moreirense vs Porto,O/U,Under,2.22,0.5313852531853979,0.4504504504504504,0.08093480273494746,False,-10.0,Liga Portugal,1
